structure,n,construction_time_s,peak_memory_bytes,sequential_reps,traversal_time_s,traversal_time_ns_per_elem,random_access_num_lookups,random_access_total_time_s,random_access_time_us_per_lookup
LinkedList,10000,0.012633000000278116,480456,20,0.0003446000009716954,34.46000009716954,200,0.01894919999904232,94.7459999952116
PyList,10000,6.029999894963112e-05,80424,20,0.00018789999921864364,18.789999921864364,2000,0.0001204999989568023,0.06024999947840115
ArrayArray,10000,0.00020079999922018033,80480,20,0.00020140000015089754,20.140000015089754,2000,0.00017380000099365134,0.08690000049682567
NumpyArray,10000,0.0005956999993941281,80648,20,5.100000635138713e-06,0.5100000635138713,2000,0.0002249000008305302,0.1124500004152651
LinkedList,100000,0.15056550000008428,4800424,8,0.003127799998765113,31.277999987651132,200,0.1715753999997105,857.8769999985525
PyList,100000,0.0006757999999535969,800416,8,0.00126530000125058,12.6530000125058,2000,0.00015910000001895241,0.07955000000947621
ArrayArray,100000,0.0011230999989493284,800472,8,0.0014836000009381678,14.836000009381678,2000,0.00010760000077425502,0.05380000038712751
NumpyArray,100000,0.0018072000002575805,800640,8,2.5699999241624027e-05,0.2569999924162403,2000,0.00013469999976223335,0.06734999988111667
LinkedList,1000000,1.4076758999999583,48000416,3,0.02581370000007155,25.81370000007155,200,1.721161999999822,8605.80999999911
PyList,1000000,0.0057417999996687286,8000408,3,0.02092629999970086,20.92629999970086,2000,0.0009512000015092781,0.47560000075463904
ArrayArray,1000000,0.016782299999249517,8000464,3,0.023841000000174972,23.841000000174972,2000,0.0002234999992651865,0.11174999963259324
NumpyArray,1000000,0.0180566999988514,8000632,3,0.0007741000008536503,0.7741000008536503,2000,0.00031119999948714394,0.15559999974357197
